word1,word2,similarity
cold-j,winter-n,43
bakery-n,cake-n,43
building-n,roof-n,43
iron-n,steel-n,43
bird-n,stork-n,43
lily-n,plant-n,43
eat-v,food-n,43
bathroom-n,kitchen-n,43
jazz-n,music-n,43
fabric-n,wool-n,43
aquarium-n,tank-n,43
fire-n,flame-n,43
bloom-n,rose-n,43
leaf-n,nature-n,43
town-n,village-n,43
apple-n,orange-j,43
dawn-n,sunrise-n,43
engine-n,gasoline-n,43
oak-n,tree-n,43
guitar-n,piano-n,43
chocolate-n,dessert-n,43
cat-n,paw-n,43
bird-n,goose-n,43
blue-j,sky-n,43
pool-n,swim-v,43
bracelet-n,necklace-n,42
fruit-n,salad-n,42
egg-n,nest-n,42
boat-n,sailing-n,42
bird-n,crow-n,42
bird-n,flamingo-n,42
day-n,sunshine-n,42
hockey-n,sport-n,42
burger-n,eat-v,42
fruit-n,raspberry-n,42
lunch-n,sandwich-n,42
foot-n,toe-n,42
baby-n,mother-n,42
amphibian-n,frog-n,42
burn-v,fire-n,42
hockey-n,ice-n,42
cold-j,frozen-j,42
oak-n,wood-n,42
photographer-n,photography-n,42
man-n,woman-n,42
hair-n,redhead-n,42
harbor-n,port-n,42
pug-n,puppy-n,42
sunrise-n,sunset-n,42
leather-n,shoe-n,42
beach-n,shore-n,42
color-n,red-j,42
paint-v,painting-n,42
storm-n,wind-n,42
color-n,violet-n,42
rain-n,wet-j,42
diner-n,eat-v,42
bed-n,bedroom-n,42
guitar-n,musician-n,42
petal-n,rose-n,42
rail-n,subway-n,42
holiday-n,vacation-n,42
bed-n,sleep-v,42
cigarette-n,smoking-n,42
airplane-n,plane-n,42
daffodil-n,plant-n,42
diner-n,kitchen-n,42
coin-n,silver-n,42
cake-n,chocolate-n,42
evening-n,night-n,42
race-n,racing-n,42
flight-n,fly-v,42
face-n,lip-n,42
berry-n,raspberry-n,42
lamp-n,light-n,42
bird-n,nest-n,42
mother-n,pregnant-j,42
animal-n,pet-n,42
butterfly-n,insect-n,42
sky-n,sunrise-n,42
canine-j,husky-n,42
food-n,meat-n,42
cloud-n,sky-n,42
crow-n,feather-n,42
blossom-n,flower-n,42
splash-n,swim-v,42
band-n,musician-n,42
cactus-n,plant-n,42
eagle-n,hawk-n,42
harbour-n,sea-n,42
flower-n,foliage-n,42
red-j,violet-n,42
music-n,sing-v,42
breakfast-n,morning-n,42
cafe-n,restaurant-n,42
beach-n,coast-n,42
puddle-n,splash-n,42
bird-n,pelican-n,42
clothes-n,sock-n,42
amphibian-n,lizard-n,41
daughter-n,son-n,41
car-n,motor-n,41
amphibian-n,reptile-n,41
day-n,morning-n,41
aircraft-n,fly-v,41
airplane-n,airport-n,41
metro-n,train-n,41
band-n,music-n,41
shadow-n,sunlight-n,41
night-n,sleep-v,41
salad-n,soup-n,41
porch-n,roof-n,41
eye-n,tear-n,41
colour-n,rainbow-n,41
berry-n,fruit-n,41
red-j,yellow-j,41
sock-n,stocking-n,41
flamingo-n,hummingbird-n,41
tree-n,twig-n,41
kiss-n,lip-n,41
burger-n,sandwich-n,41
pregnant-j,woman-n,41
rain-n,weather-n,41
dinner-n,eat-v,41
feather-n,hawk-n,41
animal-n,zoo-n,41
duck-n,mallard-n,41
mountain-n,valley-n,41
beach-n,harbour-n,41
musician-n,rock-n,41
band-n,guitar-n,41
car-n,garage-n,41
foot-n,leg-n,41
sky-n,sunlight-n,41
mist-n,rain-n,41
mother-n,son-n,41
airplane-n,wing-n,41
colour-n,red-j,41
music-n,musician-n,41
bay-n,beach-n,41
blonde-j,redhead-n,41
petal-n,plant-n,41
kitchen-n,room-n,41
lingerie-n,sexy-j,41
automobile-n,parking-n,41
bar-n,restaurant-n,41
bedroom-n,room-n,41
bus-n,taxi-n,41
fun-n,happy-j,41
station-n,train-n,41
pelican-n,stork-n,41
black-j,grey-j,41
orange-j,yellow-j,41
foliage-n,petal-n,41
park-n,parking-n,41
lip-n,tongue-n,41
fog-n,misty-j,41
canine-j,poodle-n,41
bath-n,wash-v,41
foliage-n,tree-n,41
panorama-n,view-n,41
bloom-n,daisy-n,41
escalator-n,stair-n,41
petal-n,tulip-n,41
fishing-n,sea-n,41
beef-n,cattle-n,41
noodle-n,rice-n,41
bird-n,parrot-n,41
fruit-n,orange-j,41
mural-n,painting-n,41
airport-n,flight-n,41
shopping-n,store-n,41
summer-n,sunny-j,41
road-n,sidewalk-n,41
airplane-n,fly-v,41
guitar-n,music-n,40
cat-n,whisker-n,40
family-n,friend-n,40
bloom-n,petal-n,40
musician-n,piano-n,40
dirty-j,wash-v,40
elephant-n,giraffe-n,40
puppy-n,terrier-n,40
breakfast-n,kitchen-n,40
subway-n,underground-j,40
sand-n,shore-n,40
butterfly-n,dragonfly-n,40
cheetah-n,lion-n,40
color-n,yellow-j,40
door-n,lock-v,40
bright-j,sunlight-n,40
van-n,vehicle-n,40
orange-j,red-j,40
beetle-n,insect-n,40
kid-n,mom-n,40
daughter-n,mother-n,40
child-n,school-n,40
giraffe-n,zebra-n,40
harbor-n,harbour-n,40
lamb-n,sheep-n,40
heart-n,love-n,40
lily-n,rose-n,40
asphalt-n,road-n,40
morning-n,sunny-j,40
coast-n,shore-n,40
sunny-j,sunset-n,40
nest-n,twig-n,40
happy-j,smile-n,40
figure-n,skating-n,40
rail-n,train-n,40
door-n,wall-n,40
dawn-n,sun-n,40
feather-n,stork-n,40
morning-n,sunshine-n,40
building-n,construction-n,40
cafe-n,coffee-n,40
bloom-n,bud-n,40
jacket-n,leather-n,40
map-n,travel-n,40
plant-n,seed-n,40
city-n,metro-n,40
pebble-n,sand-n,40
cafe-n,lunch-n,40
coast-n,harbour-n,40
dog-n,pug-n,40
sky-n,sun-n,40
mallard-n,swan-n,40
cloud-n,rain-n,40
sky-n,sunshine-n,40
frost-n,weather-n,40
cherry-n,raspberry-n,40
downtown-j,street-n,40
bloom-n,dandelion-n,40
dragonfly-n,insect-n,40
bottle-n,wine-n,40
feel-v,happy-j,40
railway-n,station-n,40
beach-n,swimming-n,40
cafe-n,diner-n,40
cafe-n,pub-n,40
building-n,tall-j,40
burger-n,meat-n,40
gold-n,silver-n,40
summer-n,weather-n,40
military-j,soldier-n,40
cemetery-n,grave-n,40
pizza-n,restaurant-n,39
bright-j,colour-n,39
canine-j,paw-n,39
swim-v,underwater-j,39
sea-n,swim-v,39
pub-n,restaurant-n,39
day-n,time-n,39
canine-j,terrier-n,39
bottle-n,glass-n,39
bed-n,relax-v,39
seed-n,sunflower-n,39
bird-n,owl-n,39
art-n,sculpture-n,39
light-n,shade-n,39
apartment-n,staircase-n,39
outfit-n,sock-n,39
carrot-n,potato-n,39
lizard-n,snake-n,39
city-n,sidewalk-n,39
guitar-n,rock-n,39
brick-n,building-n,39
eat-v,soup-n,39
dew-n,misty-j,39
blue-j,colour-n,39
dawn-n,morning-n,39
cooking-n,restaurant-n,39
bay-n,sea-n,39
cafe-n,shop-n,39
floor-n,roof-n,39
clothes-n,hat-n,39
marble-n,stone-n,39
duck-n,goose-n,39
collection-n,museum-n,39
happy-j,love-n,39
bakery-n,shop-n,39
mist-n,wet-j,39
blossom-n,petal-n,39
bright-j,light-n,39
rice-n,sushi-n,39
cooking-n,meat-n,39
day-n,night-n,39
kiss-n,love-n,39
stream-n,waterfall-n,39
interior-n,room-n,39
surf-n,surfer-n,39
poodle-n,terrier-n,39
cold-j,frost-n,39
city-n,town-n,39
ocean-n,underwater-j,39
harbor-n,sailing-n,39
scenery-n,sunset-n,39
green-j,violet-n,39
harbor-n,ship-n,39
summer-n,sunshine-n,39
blue-j,grey-j,39
art-n,graphic-j,39
lake-n,shore-n,39
rust-n,rusty-j,39
architecture-n,design-n,39
goose-n,swan-n,39
architecture-n,construction-n,39
hawk-n,nest-n,39
carrot-n,salad-n,39
fruit-n,tomato-n,39
purple-j,violet-n,39
misty-j,rain-n,39
clothes-n,jean-n,39
bloom-n,daffodil-n,39
brick-n,construction-n,39
diner-n,restaurant-n,39
ceiling-n,roof-n,39
paint-v,portrait-n,39
ripple-n,wave-n,39
beard-n,face-n,39
apple-n,raspberry-n,39
fashion-n,outfit-n,39
downtown-j,skyscraper-n,39
bud-n,daffodil-n,39
harbor-n,shore-n,39
blonde-j,hair-n,39
kitten-n,paw-n,39
bay-n,shore-n,39
shop-n,store-n,39
gravestone-n,memorial-n,38
canine-j,pug-n,38
crow-n,hawk-n,38
dress-n,outfit-n,38
city-n,urban-j,38
bedroom-n,door-n,38
bus-n,tram-n,38
spring-n,summer-n,38
scenery-n,waterfall-n,38
road-n,traffic-n,38
hill-n,valley-n,38
ceiling-n,floor-n,38
splash-n,water-n,38
grass-n,weed-n,38
sunny-j,weather-n,38
parrot-n,wing-n,38
daisy-n,violet-n,38
copper-n,silver-n,38
baseball-n,hockey-n,38
pet-n,poodle-n,38
blossom-n,foliage-n,38
pink-j,purple-j,38
grey-j,shade-n,38
panorama-n,scenery-n,38
downtown-j,metro-n,38
beard-n,hair-n,38
dandelion-n,petal-n,38
blue-j,violet-n,38
daisy-n,flower-n,38
noodle-n,soup-n,38
pet-n,puppy-n,38
bud-n,petal-n,38
ancient-j,ruin-n,38
eye-n,iris-n,38
puddle-n,water-n,38
harbor-n,sea-n,38
painting-n,sculpture-n,38
sand-n,sea-n,38
feline-j,kitten-n,38
bird-n,swan-n,38
baseball-n,game-n,38
colour-n,purple-j,38
pool-n,splash-n,38
cattle-n,sheep-n,38
landscape-n,scenery-n,38
coin-n,gold-n,38
boat-n,shore-n,38
skyscraper-n,tall-j,38
apple-n,cherry-n,38
beef-n,chicken-n,38
hot-j,sunny-j,38
dessert-n,fruit-n,38
photographer-n,portrait-n,38
chicken-n,meat-n,38
ceiling-n,interior-n,38
bathroom-n,bedroom-n,38
hummingbird-n,stork-n,38
motor-n,vehicle-n,38
colour-n,grey-j,38
blue-j,orange-j,38
dawn-n,dusk-n,38
building-n,downtown-j,38
face-n,tear-n,38
boat-n,harbour-n,38
cattle-n,farm-n,38
drip-v,wet-j,38
brown-j,green-j,38
bedroom-n,ceiling-n,38
bread-n,eat-v,38
dinner-n,evening-n,38
face-n,smile-n,38
bride-n,dress-n,38
stone-n,wall-n,38
mural-n,paint-v,38
foliage-n,plant-n,38
day-n,dusk-n,38
roof-n,wall-n,38
cooking-n,food-n,38
photography-n,portrait-n,38
bud-n,foliage-n,38
lily-n,pond-n,37
harbour-n,shore-n,37
palm-n,tree-n,37
bus-n,subway-n,37
holiday-n,travel-n,37
skyline-n,view-n,37
bedroom-n,cottage-n,37
dinner-n,lunch-n,37
grave-n,memorial-n,37
dessert-n,sweet-j,37
bird-n,insect-n,37
concert-n,rock-n,37
mushroom-n,tomato-n,37
metro-n,railway-n,37
giraffe-n,zoo-n,37
railway-n,subway-n,37
misty-j,weather-n,37
parrot-n,pelican-n,37
bedroom-n,sleep-v,37
autumn-n,summer-n,37
automobile-n,truck-n,37
amphibian-n,mammal-n,37
cemetery-n,memorial-n,37
orange-j,purple-j,37
blue-j,color-n,37
daffodil-n,rose-n,37
berry-n,seed-n,37
hummingbird-n,mallard-n,37
dandelion-n,grass-n,37
brick-n,concrete-j,37
costume-n,dress-n,37
cloud-n,mist-n,37
sea-n,tropical-j,37
brown-j,grey-j,37
bathroom-n,room-n,37
daisy-n,plant-n,37
paint-v,picture-n,37
eye-n,lip-n,37
autumn-n,winter-n,37
drip-v,rain-n,37
horizon-n,sky-n,37
black-j,blue-j,37
metro-n,station-n,37
alley-n,street-n,37
child-n,family-n,37
mountain-n,scenery-n,37
concrete-j,construction-n,37
mill-n,windmill-n,37
summer-n,winter-n,37
plant-n,twig-n,37
breakfast-n,lunch-n,37
concrete-j,floor-n,37
rain-n,sky-n,37
food-n,frozen-j,37
moss-n,plant-n,37
flower-n,spring-n,37
bird-n,mallard-n,37
graphic-j,illustration-n,37
eat-v,fruit-n,37
ceiling-n,porch-n,37
river-n,valley-n,37
fog-n,mist-n,37
dude-n,guy-n,37
moon-n,sky-n,37
bar-n,sushi-n,37
beauty-n,scenery-n,37
feather-n,mallard-n,37
furniture-n,patio-n,37
light-n,shadow-n,37
bay-n,harbour-n,37
wash-v,water-n,37
flight-n,owl-n,37
paw-n,whisker-n,37
costume-n,wig-n,37
animal-n,giraffe-n,37
autumn-n,foliage-n,37
animal-n,cattle-n,37
building-n,skyscraper-n,37
ice-n,skating-n,37
meat-n,potato-n,37
bud-n,twig-n,37
knit-v,stitch-n,37
hot-j,sunshine-n,37
bed-n,room-n,37
music-n,rock-n,37
cooking-n,rice-n,37
berry-n,cherry-n,37
piano-n,play-v,37
flower-n,lily-n,37
cherry-n,strawberry-n,37
clothes-n,skirt-n,37
art-n,painting-n,37
bird-n,gull-n,37
spiral-n,staircase-n,37
paw-n,pet-n,37
feather-n,nest-n,37
feather-n,owl-n,37
blossom-n,cherry-n,37
goat-n,sheep-n,37
green-j,pink-j,37
foliage-n,garden-n,37
dog-n,husky-n,37
feather-n,hummingbird-n,37
sunshine-n,weather-n,37
snow-n,weather-n,37
surfer-n,wave-n,37
breakfast-n,dinner-n,37
shoe-n,toe-n,37
band-n,play-v,37
coffee-n,mug-n,37
brick-n,wall-n,37
fishing-n,sailing-n,37
grey-j,white-j,37
orange-j,strawberry-n,37
color-n,purple-j,37
blossom-n,daisy-n,37
hawk-n,owl-n,37
exhibition-n,photography-n,37
morning-n,night-n,37
band-n,concert-n,37
dress-n,shirt-n,37
river-n,waterfall-n,37
ceramic-j,tile-n,36
cloud-n,droplet-n,36
exhibition-n,sculpture-n,36
oak-n,twig-n,36
movie-n,television-n,36
butterfly-n,hummingbird-n,36
daisy-n,grass-n,36
floor-n,marble-n,36
canyon-n,river-n,36
decoration-n,interior-n,36
flamingo-n,stork-n,36
bear-v,mother-n,36
moon-n,sun-n,36
musician-n,sing-v,36
green-j,red-j,36
purple-j,white-j,36
canine-j,pet-n,36
morning-n,sleep-v,36
weather-n,winter-n,36
sky-n,sunny-j,36
jacket-n,sock-n,36
blue-j,red-j,36
green-j,grey-j,36
lily-n,petal-n,36
blue-j,purple-j,36
goose-n,mallard-n,36
hotel-n,restaurant-n,36
downtown-j,urban-j,36
jean-n,skirt-n,36
guy-n,people-n,36
birthday-n,happy-j,36
chicken-n,soup-n,36
fly-v,wing-n,36
door-n,room-n,36
skyline-n,skyscraper-n,36
cheetah-n,giraffe-n,36
feline-j,pet-n,36
car-n,parking-n,36
gull-n,mallard-n,36
spring-n,winter-n,36
daffodil-n,spring-n,36
building-n,skyline-n,36
salad-n,tomato-n,36
book-n,write-v,36
bucket-n,water-n,36
lady-n,sexy-j,36
ceiling-n,room-n,36
puddle-n,rain-n,36
costume-n,outfit-n,36
hill-n,scenery-n,36
bacon-n,chicken-n,36
dawn-n,night-n,36
cocktail-n,restaurant-n,36
daffodil-n,petal-n,36
canyon-n,valley-n,36
brick-n,house-n,36
band-n,rock-n,36
book-n,illustration-n,36
desk-n,sit-v,36
bright-j,sky-n,36
autumn-n,sunny-j,36
colour-n,yellow-j,36
cold-j,weather-n,36
blue-j,green-j,36
glitter-v,sunlight-n,36
drip-v,water-n,36
day-n,misty-j,36
food-n,noodle-n,36
goat-n,milk-n,36
pink-j,yellow-j,36
floor-n,interior-n,36
black-j,purple-j,36
door-n,window-n,36
city-n,skyline-n,36
bear-v,live-v,35
art-n,work-n,35
pink-j,violet-n,35
bath-n,room-n,35
dew-n,rain-n,35
boy-n,girl-n,35
canyon-n,mountain-n,35
white-j,yellow-j,35
colour-n,shade-n,35
banana-n,cherry-n,35
mammal-n,rodent-n,35
explosion-n,fire-n,35
shore-n,swim-v,35
cloud-n,misty-j,35
sit-v,stand-v,35
glitter-v,gold-n,35
black-j,white-j,35
light-n,neon-n,35
machine-n,wash-v,35
coffee-n,dinner-n,35
feather-n,flamingo-n,35
downtown-j,sidewalk-n,35
cooking-n,eat-v,35
feline-j,paw-n,35
crow-n,gull-n,35
festival-n,music-n,35
dirt-n,road-n,35
gull-n,pelican-n,35
carrot-n,tomato-n,35
blossom-n,tree-n,35
restaurant-n,shop-n,35
cherry-n,grape-n,35
automobile-n,racing-n,35
jazz-n,piano-n,35
hawk-n,pelican-n,35
baseball-n,play-v,35
bloom-n,plant-n,35
ceiling-n,wall-n,35
beef-n,potato-n,35
breakfast-n,restaurant-n,35
black-j,colour-n,35
bright-j,glitter-v,35
hummingbird-n,nest-n,35
feline-j,whisker-n,35
beach-n,holiday-n,35
sailing-n,shore-n,35
design-n,graphic-j,35
music-n,track-n,35
air-n,cold-j,35
dessert-n,eat-v,35
chocolate-n,strawberry-n,35
dinner-n,night-n,35
dusk-n,sunrise-n,35
boat-n,sink-v,35
beef-n,cooking-n,35
jacket-n,jean-n,35
computer-n,lab-n,35
downtown-j,skyline-n,35
fun-n,game-n,35
ivy-n,tree-n,35
nest-n,wasp-n,35
garden-n,pumpkin-n,35
curl-v,haircut-n,35
eat-v,meat-n,35
outfit-n,skirt-n,35
bacon-n,beef-n,35
skyscraper-n,tower-n,35
splash-n,wash-v,35
daffodil-n,foliage-n,34
garden-n,patio-n,34
metro-n,subway-n,34
beach-n,scenery-n,34
photographer-n,wedding-n,34
floor-n,room-n,34
purple-j,yellow-j,34
guitar-n,sing-v,34
petal-n,yellow-j,34
bead-n,necklace-n,34
black-j,brown-j,34
dessert-n,strawberry-n,34
beef-n,lamb-n,34
bread-n,potato-n,34
fishing-n,harbour-n,34
pug-n,terrier-n,34
evening-n,time-n,34
office-n,table-n,34
cat-n,lick-v,34
building-n,interior-n,34
crochet-n,stitch-n,34
spring-n,sunshine-n,34
concert-n,jazz-n,34
cooking-n,soup-n,34
shade-n,sun-n,34
tall-j,tower-n,34
pepper-n,salad-n,34
strawberry-n,tomato-n,34
fruit-n,peel-n,34
scenery-n,skyline-n,34
green-j,yellow-j,34
brown-j,orange-j,34
colour-n,orange-j,34
harbour-n,ship-n,34
violet-n,yellow-j,34
sport-n,swimming-n,34
friend-n,happy-j,34
blue-j,pink-j,34
blossom-n,orange-j,34
rail-n,station-n,34
potato-n,salad-n,34
interior-n,wall-n,34
hawk-n,hummingbird-n,34
cliff-n,coast-n,34
feather-n,wing-n,34
brown-j,yellow-j,34
raspberry-n,sweet-j,34
concert-n,sing-v,34
art-n,craft-n,34
bloom-n,foliage-n,34
chicken-n,rice-n,34
cherry-n,orange-j,34
blossom-n,fruit-n,34
animal-n,wild-j,34
line-n,railway-n,34
roof-n,tile-n,34
concert-n,piano-n,34
potato-n,rice-n,34
cloud-n,sunshine-n,34
marble-n,statue-n,34
frozen-j,meat-n,34
band-n,punk-n,34
insect-n,reptile-n,34
building-n,staircase-n,34
bed-n,breakfast-n,34
bloom-n,lily-n,34
blonde-j,girl-n,34
jean-n,outfit-n,34
bread-n,cooking-n,34
flower-n,violet-n,34
peel-n,skin-n,34
dessert-n,diner-n,34
art-n,exhibition-n,34
jacket-n,shirt-n,34
brown-j,purple-j,34
floor-n,patio-n,34
downtown-j,highway-n,34
purple-j,red-j,34
dragonfly-n,frog-n,33
mammal-n,monkey-n,33
mist-n,morning-n,33
feather-n,gull-n,33
gull-n,stork-n,33
dusk-n,morning-n,33
guitar-n,play-v,33
bloom-n,violet-n,33
mallard-n,stork-n,33
band-n,piano-n,33
glitter-v,sky-n,33
orange-j,pink-j,33
potato-n,soup-n,33
grey-j,violet-n,33
construction-n,demolition-n,33
scenery-n,valley-n,33
morning-n,sky-n,33
beach-n,cliff-n,33
storm-n,tropical-j,33
black-j,pink-j,33
hat-n,jacket-n,33
dragonfly-n,hummingbird-n,33
pink-j,white-j,33
blue-j,yellow-j,33
cold-j,hot-j,33
flower-n,pink-j,33
bright-j,star-n,33
restaurant-n,sushi-n,33
guitar-n,keyboard-n,33
diner-n,sushi-n,33
furniture-n,room-n,33
desert-n,scenery-n,33
cafe-n,dinner-n,33
bakery-n,cafe-n,33
flamingo-n,pelican-n,33
salad-n,sandwich-n,33
bright-j,dark-j,33
building-n,floor-n,33
bacon-n,eat-v,33
apartment-n,floor-n,33
railway-n,underground-j,33
lip-n,smile-n,33
fungus-n,plant-n,33
breakfast-n,diner-n,33
feather-n,pelican-n,33
bath-n,hot-j,33
arch-n,roof-n,33
game-n,match-n,33
metro-n,rail-n,33
decoration-n,wood-n,33
building-n,demolition-n,33
art-n,collage-n,33
ship-n,sink-v,33
grey-j,purple-j,33
garden-n,lawn-n,33
orange-j,violet-n,33
ivy-n,oak-n,33
dog-n,lick-v,33
dawn-n,sunny-j,33
fun-n,kid-n,33
lunch-n,restaurant-n,33
metro-n,underground-j,33
eat-v,strawberry-n,33
foliage-n,rose-n,33
evening-n,sleep-v,33
construction-n,interior-n,33
weather-n,wet-j,33
fruit-n,nut-n,33
car-n,park-n,33
ink-n,pencil-n,32
frost-n,wet-j,32
mural-n,work-n,32
berry-n,blossom-n,32
decoration-n,lighting-n,32
man-n,muscle-n,32
drip-v,puddle-n,32
porch-n,stair-n,32
brown-j,red-j,32
iron-n,rusty-j,32
apartment-n,bedroom-n,32
foliage-n,lily-n,32
face-n,happy-j,32
airport-n,traffic-n,32
rain-n,wind-n,32
handwriting-n,sketch-n,32
city-n,live-v,32
rain-n,sunny-j,32
blonde-j,haircut-n,32
abandon-v,ruin-n,32
black-j,yellow-j,32
bacon-n,cooking-n,32
dragonfly-n,pond-n,32
ceiling-n,staircase-n,32
morning-n,time-n,32
potato-n,sweet-j,32
day-n,sunny-j,32
hotel-n,house-n,32
guy-n,haircut-n,32
mud-n,sand-n,32
staircase-n,wall-n,32
brown-j,white-j,32
dinner-n,sit-v,32
evening-n,morning-n,32
bench-n,sit-v,32
hummingbird-n,pelican-n,32
bike-n,chopper-n,32
foliage-n,tulip-n,32
bar-n,cafe-n,32
autumn-n,sunshine-n,32
potato-n,tomato-n,32
scenery-n,trail-n,32
jacket-n,skirt-n,32
construction-n,skyscraper-n,32
chicken-n,lamb-n,32
grey-j,orange-j,32
bikini-n,lake-n,32
carrot-n,soup-n,32
bar-n,diner-n,32
dessert-n,frozen-j,32
cooking-n,diner-n,32
violet-n,white-j,32
apple-n,dessert-n,32
cooking-n,noodle-n,32
bear-v,son-n,32
insect-n,lizard-n,32
foliage-n,twig-n,32
outdoor-j,pool-n,32
morning-n,sunset-n,32
escalator-n,subway-n,32
bacon-n,soup-n,32
berry-n,sweet-j,32
grey-j,pink-j,32
rain-n,sunshine-n,32
game-n,play-v,32
cocktail-n,dinner-n,32
building-n,concrete-j,32
street-n,town-n,32
friend-n,love-n,32
festival-n,musician-n,32
berry-n,twig-n,32
ball-n,drop-v,31
black-j,violet-n,31
hawk-n,wild-j,31
cooking-n,salad-n,31
floor-n,staircase-n,31
lawn-n,patio-n,31
guy-n,sport-n,31
blossom-n,purple-j,31
cold-j,rain-n,31
reptile-n,wild-j,31
glitter-v,sunshine-n,31
room-n,staircase-n,31
mammal-n,wild-j,31
interior-n,paint-v,31
forest-n,frog-n,31
ceiling-n,window-n,31
coast-n,sailing-n,31
relax-v,sit-v,31
